COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/06/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: JUNE DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2034 
 NOMBRE    : MEXICALI (SMN) 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : MEXICALI 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.55 ° 
 LONGITUD  : -115.4666667 ° 
 ALTITUD   : 3 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1993	19.4	20	28.9	30.4	35.4	39.4	41.7	41.1	38	32.4	23	20.4		30.8	12
1994	21.6	20.8	24.9	30.7	34.1	43.8	44.4	43.7	39.7	31	21.2	19.4		31.3	12
1995	19.6	25.9	26.7	29.4	31.8	39.1	43.9	44.2	41.7	33.5	28	21.6		32.1	12
1996	22	24.5	28.2	32.5	38.6	42.5	43.7	43.4	38.4	32.4	25.4	21		32.7	12
1997	21	22.9	29.9	31.1	39.8	40.1	42.7	42.9	38.6	30.5	25.5	17.4		31.9	12
1998	19.6	19.3	24.8	27.9	32	38.3	43.2	42.4	37.1	31.2	24.5	20.3		30	12
1999	22.3	23.4	25.4	27.8	35.7	39.9	42	42.1	39.1	35.5	27.7	21.7		31.9	12
2000	23.2	23.6	26.8	33.6	39.4	41.7	43.6	42.4	38.8	29.6	21.8	21.6		32.2	12
2001	19	20.6	26.4	29.1	39.4	42.4	43	42.6	39.9	33.9	26	18.7		31.8	12
2002	19.9	23.6	25.3	30.7	35.8	42.7	43.9	42.3	38.8	30.3	25.3	19.8		31.5	12
2003	24.4	21.1	26.2	27.4	35.5	40.7	43.2	40.9	39.6	35.1	22.5	20.1		31.4	12
2004	20.1	22.4	32.6	32	37.9	40.9	43.8	43.2	40.2	32.9	25.1	22.5		32.8	12
2005	21.3	22	26.8	31.2	36.4	40.2	44.9	42.9	39.7	32.8	27	22.3		32.3	12
2006	22.4	25.1	23.3	28.9	37.1	42.6	43.9	42.6	39	31.5	27.8	20.9		32.1	12
2007	19.6	24.4	29.3	31.6	36.5	41.4	43.1	43.2	38.3	32.5	27.6	18.7		32.2	12
2008	19.3	23.4	28	31.4	33.8	42.3	42.5	41.7	40.6	34.4	28.2	20.2		32.1	12
2009	23.2	23.1	26.9	30.4	39.2	38.3	45	43.1	41.3	31.9	27	19.7		32.4	12
2010	21.5	22.8	25.8	28.4	33.6	40.5	43.5	42.5	41	30.8	25.2	22.2		31.5	12
2011	21.8	21.1	27.7	30.6	33.5	40.5	42.7	44.8	40.5	34.1	24.4	19		31.7	12
2012	22.8	23.6	26.9	31.3	38	42	42.1	42.9	40.5	33.9	27.5	21.3		32.7	12
2013	19.3	22.5	30.2	32.7	36.9	42.9	42.9	41.8	39.4	31.3	25.5	21.2		32.2	12
2014	24.8	26.9	29.5		37.1	42.4	43.4	41.7	40.4	34.9	26.4	20.4		33.4	11
2015	22.1	27.7	30.8	31.7	33	42.2	41.7	45	40.8	34.1	24.2	20.2		32.8	12
2016	20.5	27.3	30	31.7	34.3	43.8	44.9	43.5	38.2	34.9	26.7	20.6		33	12
2017	19.7	24.4	30.4	32.8	35.8	43.4	43.9	43.7	37.6	34.3	28.4	22.9		33.1	12
2018	24	23.8	27	34	35.9	42.2	44.2	44.1	42.3	32	26.1	20.7		33	12
2019	20.4	20	26.3	32.8	32	40.9	43.8	44.8	38.9	32.2	27.2	18.9		31.5	12
2020	22.8	24.5	24.4	32	38.7	41.1	45.1	45.6	42.4	35.7	26.2	20.5		33.2	12
2021	20.6	24.5	27.3	34.1	38.3	44.8	45.1	44.3	42.2	34	31.4	23.9		34.2	12
2022	24	25.9	30.8	34.8	39.1	44.9	46.2	45.2	41.8	35.6	26.1	23.1		34.8	12
2023	22.2	23.4	26.7	34.6	37.5	40.3	48.3	44.2	41	36.2	28.1	24.5		33.9	12
2024	22.9	25.6	28.1	33.5	38.6	45.4	48.4	46.8	44.4	39.7	27.3	26.6		35.6	12
2025	23.2	28.7	29.3	33.6	38.7	42.9								32.7	6
MÍNIMA	13.8	17.9	21.5	24.8	30	35.2	39.4	38	27.4	27.5	21.2	16.7		25.8	5
MÁXIMA	24.9	28.7	39.2	35.5	40.8	45.4	48.4	46.8	44.4	47.1	37.6	28.4		35.6	12
MEDIA	20.7	23.2	26.6	30.7	35.2	40.3	42.5	41.9	39.1	33	25.8	20.8		31.6	11.6
DESV.ST	2.1	2.2	2.7	2.3	2.4	2.1	1.7	1.8	2.2	2.7	2.4	2.1		1.5	1.5

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1930	22.5	30	33	39	39	44.5	44	45	43	34	37	29		36.7	12
1931	27.5	24	34	36	42	42.4	46	44.2	42.2	36	32.5	22		35.7	12
1932	23.6	29.2	33.2	35	39	43.2	44	44.2	44	36.6	28.4	24.8		35.4	12
1933	22.8	26	30	35.5	41.4	43.5	44.6	46.8	42	39	30.2	25.6		35.6	12
1934	25.8	26	36.2	37.4	43	39.8	45.8	45	43	41	32	24.5		36.6	12
1935	26.8	28	31.6	34.5	37.8	46	45	44.4	42	35.8	26.4	24.5		35.2	12
1936	22.6	27.2	32.2	37.6	41.5	45	45	43	41.6	37.6	30.6	24		35.7	12
1937	19	27.5	29.8	37.8	43	42	45	44	43	35	30.7	25.6		35.2	12
1938	24.8	24.5	29.5	38.5	40.8	42	43	43	40.7	36.6	26.6	27.6		34.8	12
1939	23.6	26.5	32	37	41.4			42.5						33.8	6
1944		26.9					46.4	45.9			31.5	26.9		35.5	5
1945	28	28.8	30.5	38	39.1									32.9	5
1948			26.4	37.4	39.8	43.7	43.7	44.8	36.5	35	29.5	23		36	10
1949	21	40.5	46.5	39	48	49	51	50	48	45	49	31		43.2	12
1950	24.5	30	36.5	40.5	40.5	44	44.5	48	49	41	33.5	30		38.5	12
1951	28	30.5	33	36	42	45	46.5	45.5	45	42	31.5	28		37.8	12
1952	26	28	42	35	45	45	48	47	48	54	42	35.5		41.3	12
1953	29	29.5	34	39.4	39.4	47.8	47	46.3	45.5	40	33.5	27.1		38.2	12
1954	29.2	34	32	40.8	41.5	46.2	48.5	45.6	44	42.3	31.5	26.5		38.5	12
1955	23	29.5	33.2	35.8	41.8	46.7	45.6	44.1	46	42.2	33.5	31.3		37.7	12
1956	28.7	28.7	36	37.8	41.5	47	45	45.5	46.2	40	32.1			39	11
1957	22.5	31.3	33.8	35.2	39.6	49	47.4	44.7	45	38.9	27.2	27		36.8	12
1958	25.2	28.6	26.5	38.8	42.4	44.5	48	43.9	44.7	40.1	35.5	30.6		37.4	12
1959	28.4	27.9	33.9	38.6	37.1	48.7	46.7	44.2	43.7	38.6	30.5	27.4		37.1	12
1960	24.9	27.9	35.4	37.5	43.2	47.5	48.2	48	46.3	39.5	34.1	24.2		38.1	12
1961	25.7	30	31.7	38.4	38.9	46.7	46.8	45	40.3	37.8	28.8	27.1		36.4	12
1962	29.2	27.2	33	40.1	40	46	44.7	46.6	45.5	40.3	34.6	27.5		37.9	12
1963	23.5	34.7	34	35.2	41.4	44.6	46	44	46	40.2	30.5	26.2		37.2	12
1964	24.9	27.2	32.3	37	40	46.8	47	45	43	42	30.5	29.8		37.1	12
1965	29	31	30	40	41	42	46.7	45	44	41	33	26		37.4	12
1966	23	25	36	37.6	41	45	46	45.7	44	35		35		37.6	11
1967	27	29.5	34	31	42.5	45	45.8	45.8	41	37.5	33.8	24		36.4	12
1968	24.5	32.5	34.5	35	42.5	47	46	42	44.5	36	30	24.9		36.6	12
1969	27.5	26	36	34	42	44	45.6	51	46	39	31	26.5		37.4	12
1970	26	28	32.5	35	42	48	45.5	45.5	43.5	37	31	26		36.7	12
1971	32	32	37	37	38.2	43.7	46	44.5	46.5	38	30	24.5		37.5	12
1972	26	33	37	40		47	47	47.6	41.5	40	28	27.5		37.7	11
1973	26	27	27	37.5	43	47	46	44	44	38	36	27		36.9	12
1974	26	30	34	35	43.5	47	45	44	45	41	32	25		37.3	12
1975	28	32	32	32	40	43	46	46	42	40		27		37.1	11
1976	28.5	30	34	36	42	46	46.5	44.5	38	37	32.5	25.5		36.7	12
1977	26	33.5	30	36	40.5	46	46	45.5	44.5	39	32.5	29		37.4	12
1978	25	28.5	34.5	34	41.5	46	47	44	42.5	41.5	33.5	25		36.9	12
1979	24.5	26.5	32	38.5	39.5	47	46	44.5	45	41.5	29	29		36.9	12
1980		30	29.6	39	39.2	45	46	45.5						39.2	7
1981	33	34	34	37	39	46	47	47	43	38	32	27		38.1	12
1982	27	30	29	34	39	42	45	46	46	37	29	25		35.8	12
1983	27	30	34	34	45	44	46	45	44	37	31	25		36.8	12
1984	27.5	32	33.5	40.5	45	44	45	46.5	48	38.5	32.5	22.5		38	12
1985	26.5	31	36	45	40	47.5	48.5	49.5	45	40.5	33.5	27		39.2	12
1986	28.5	35	38	39.5	43	47.5		48	46.5	36.5	32	26		38.2	11
