COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/06/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: JUNE DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2034 
 NOMBRE    : MEXICALI (SMN) 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : MEXICALI 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.55 ° 
 LONGITUD  : -115.4666667 ° 
 ALTITUD   : 3 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1974	12.5	13.7	17.6	20.1	24.5	31	32.4	32	31.2	23.8	16.9	10.8		22.2	12
1975	11.6	13.3	15.4	16.2	23.6	27.6	32.3	32	29.7	21.4		12.6		21.4	11
1976	13.1	14.8	15.2	18.4	24.5	29.2	32.2	30.8	27.3	22.7	17.4	12.8		21.5	12
1977	13	16	14.4	20.7	21.1	30	33.6	32.9	29	24.6	18.2	15.3		22.4	12
1978	13	15	18.5	19.1	24.2	31.2	33.5	32	28.6	25.8	16.3	10.1		22.3	12
1979	10.7	13.5	16.7	20.9	24.3	30.2	32.4	30.9	31.7	24.5	15.8	14.3		22.2	12
1980		16.2	16.2	20.4	22.1	29	34.1	32.6						24.4	7
1981	16	16.3	17.4	22.4	24.9	32.3	34	34	30.9	22.1	18.5	14.1		23.6	12
1982	11.7	14.8	16.1	19.4	24.2	27.2	32	33	28.8	22.5	15.8	11.5		21.4	12
1983	13.6	15	17.5	18.5	25.7	28.6	31.4	29.7	31	24	17.3	13.9		22.2	12
1984	13.8	15.2	17.6	20.7	28.2	29.7	32.8	32.6	31.5	21.5	16.4	11.1		22.6	12
1985	12.3	13.9	18.3	24.8	26.5	31.6	34.7	33.9	28.1	23.4	16.2	13.9		23.1	12
1986	16.4	17.2	20.8	22	26.1	32		34.9	27.4	22.9	18.4	13.7		22.9	11
1987	12.5	15.2	16.8	24.1	25.9	31.1	32.5	33.5	30.6	26.1	17	11.8		23.1	12
1988	13.1	16.4	19	20.6	24.9	29.9	33.5	32.3	28.8	26.7	18.7	13.9		23.1	12
1989	11.8	14.8	21.5	25.8	27.4	31.3	35.5	34	30.3	25.2	17.6	14.1		24.1	12
1990	14.3	13.2	17.2	22.1	25.6	31	35.5	33.5	31.5	24.6	18.2	11.3		23.2	12
1991	13.6	18.7	14.8	20.5	24.8	30.3	32.9	35	31.5	29	19.1	13.4		23.6	12
1992	12.9	16.9	18.6	23.9	28	31	34.4	34.8	31	26.2	20.4	12.6		24.2	12
1993	14	14.7	21.1	22.9	27.2	31.4	33.7	34.1	29.9	25.4	16.6	13.8		23.7	12
1994	14.4	14.2	18.9	22.9	25.6	34.3	36	35.3	32	23.9	14.6	13		23.8	12
1995	13.9	18.5	19.6	21	23.8	29.9	34.6	36.5	33.7	25.2	20.5	15		24.4	12
1996	14.8	18	20.1	24	28.7	32.2	36	35.1	31	24.6	18.1	14.1		24.7	12
1997	14.7	15.3	20.7	22.6	30.6	30.4	33.5	35.5	32	23.2	18.8	11.5		24.1	12
1998	13.5	14.1	17.9	20.2	23.8	28.9	35.3	35.2	30.1	23.6	17.6	13.8		22.8	12
1999	14.9	15.9	17.9	20.1	26.2	30.8	34.3	33.9	31.4	26.7	19.4	13.8		23.8	12
2000	15.2	16.6	18.6	24	29.6	32.5	34.5	35.2	31.3	23.2	14.8	14.7		24.2	12
2001	12.7	14.4	19.3	21.3	30.2	33.2	34.5	35	32.4	26.4	20.1	12.2		24.3	12
2002	13.3	15.6	17.9	23.1	26.8	33	35.7	34	31.3	23.6	18.6	13.5		23.9	12
2003	17.1	15.6	19.4	20.3	27.6	31.7	35.9	34.5	32.4	28.2	16.6	13.8		24.4	12
2004	13.6	15.1	24	23.6	28.5	31.2	35.2	34.5	31.2	24.7	17.6	15		24.5	12
2005	15.4	16	19.4	22.8	27.8	30.9	36	34.8	31	25	19.4	14.9		24.4	12
2006	15	17	16.9	21.2	28	33.7	36.6	34.5	31	24.2	20.3	13.8		24.4	12
2007	12.5	16.9	21.1	23	27.7	31.8	35.1	35.6	30.6	24.6	20.2	12.4		24.3	12
2008	12.8	16	20.1	22.5	25.3	33	34.6	34.2	32.5	26	20.8	14.1		24.3	12
2009	15.9	16	19.2	22	30	30	36.6	34.6	33	23.9	19.3	13.4		24.5	12
2010	15.1	16.4	18.5	21	25	31.3	35.5	34.3	32.1	24.3	18.1	15.9		24	12
2011	14.2	14	19.8	22.5	24.6	30.5	34.2	36.2	32.5	26	17.4	12.1		23.7	12
2012	14.7	16.2	18.9	23	28.4	32.6	34	35.8	33.1	25.8	20	14.9		24.8	12
2013	12.6	14.8	21.6	23.8	28.1	33.2	35.4	34	31.3	23.1	18.2	13.8		24.2	12
2014	16.6	18.9	21.4		28	33.1	35.7	34	33	27.2	18.9	14.8		25.6	11
2015	15	19.8	22.6	23.6	25.2	33.4	33.9	36.9	33.5	27.7	17.2	13.2		25.2	12
2016	13.7	18.8	21.8	24	26.2	34.6	36.8	36	30.4	27	19.9	14.4		25.3	12
2017	14.1	17.7	22.4	24.5	27.5	33.9	36.7	35.9	30.2	26.1	21.3	15.3		25.5	12
2018	16.8	16.1	19.8	25.4	27.2	32.8	36.9	36.9	34	25	18.6	14.1		25.3	12
2019	13.8	13.8	19.4	24.9	24.8	32.2	35.5	36.5	31.4	23.8	19.4	13.3		24.1	12
2020	14.9	16.4	17.9	23.4	30.6	32.4	36	37.4	33.6	27.4	18.9	13.4		25.2	12
2021	13.8	16.8	19.1	25.6	29.2	35.6	37.7	36.5	34.3	25.7	22.9	16.4		26.1	12
2022	16	17	21.9	25.6	29.8	35.7	38	37.8	34.5	28.2	18.1	15.7		26.5	12
2023	15.5	15.8	19.4	25.4	28.6	31.3	39.2	36.6	33	27.8	20.5	16.9		25.8	12
2024	15.6	18.6	20.6	24.6	29.7	36.2	39.6	38.4	35.5	30.7	19.3	17.8		27.2	12
2025	15	20.4	21.2	24.9	29.9	34								24.2	6
MÍNIMA	7.2	11.4	14.1	16	19.2	23	27.4	27.5	23.3	19.2	13.8	9.9		17	5
MÁXIMA	17.1	20.4	27.4	25.8	30.6	36.2	39.6	38.4	35.5	30.7	22.9	17.8		27.2	12
MEDIA	13.1	15.3	18.2	21.7	25.7	30.5	34	33.7	30.5	24.3	17.7	13.3		23.1	11.6
DESV.ST	1.9	1.9	2.4	2.3	2.4	2.4	2	2	2.2	2.2	2	1.6		1.7	1.5
